,0,val_loss
27,5.893244927392398,"{'nlayers': 2, 'nodes_in_layer1': 103, 'nodes_in_layer2': 843, 'nodes_in_layer3': nan, 'nodes_in_layer4': nan, 'act_fn': 'sigmoid', 'learning_rate': 0.0005155755018903433}"
28,6.299999999824864,"{'nlayers': 4, 'nodes_in_layer1': 367, 'nodes_in_layer2': 113, 'nodes_in_layer3': 932, 'nodes_in_layer4': 902, 'act_fn': 'sigmoid', 'learning_rate': 0.030109157684025573}"
29,5.5,"{'nlayers': 3, 'nodes_in_layer1': 91, 'nodes_in_layer2': 86, 'nodes_in_layer3': 36, 'nodes_in_layer4': nan, 'act_fn': 'tanh', 'learning_rate': 0.3277626138657018}"
30,5.620628628193278,"{'nlayers': 4, 'nodes_in_layer1': 38, 'nodes_in_layer2': 84, 'nodes_in_layer3': 748, 'nodes_in_layer4': 73, 'act_fn': 'sigmoid', 'learning_rate': 0.007362089366763811}"
31,4.0,"{'nlayers': 2, 'nodes_in_layer1': 978, 'nodes_in_layer2': 74, 'nodes_in_layer3': nan, 'nodes_in_layer4': nan, 'act_fn': 'relu', 'learning_rate': 0.05251678106297335}"
32,5.560942262885112,"{'nlayers': 3, 'nodes_in_layer1': 74, 'nodes_in_layer2': 519, 'nodes_in_layer3': 164, 'nodes_in_layer4': nan, 'act_fn': 'sigmoid', 'learning_rate': 0.01763995138714977}"
33,3.6940763158222403,"{'nlayers': 3, 'nodes_in_layer1': 544, 'nodes_in_layer2': 511, 'nodes_in_layer3': 54, 'nodes_in_layer4': nan, 'act_fn': 'relu', 'learning_rate': 0.0003917566364142267}"
34,4.693198326340967,"{'nlayers': 1, 'nodes_in_layer1': 629, 'nodes_in_layer2': nan, 'nodes_in_layer3': nan, 'nodes_in_layer4': nan, 'act_fn': 'relu', 'learning_rate': 0.0005221015898246144}"
35,3.9943154427191576,"{'nlayers': 2, 'nodes_in_layer1': 189, 'nodes_in_layer2': 70, 'nodes_in_layer3': nan, 'nodes_in_layer4': nan, 'act_fn': 'relu', 'learning_rate': 0.0003532369918231435}"
36,4.7,"{'nlayers': 1, 'nodes_in_layer1': 127, 'nodes_in_layer2': nan, 'nodes_in_layer3': nan, 'nodes_in_layer4': nan, 'act_fn': 'relu', 'learning_rate': 0.23335983954083317}"
37,6.495128499793181,"{'nlayers': 1, 'nodes_in_layer1': 334, 'nodes_in_layer2': nan, 'nodes_in_layer3': nan, 'nodes_in_layer4': nan, 'act_fn': 'tanh', 'learning_rate': 0.00021029315578885516}"
38,5.6,"{'nlayers': 3, 'nodes_in_layer1': 209, 'nodes_in_layer2': 358, 'nodes_in_layer3': 71, 'nodes_in_layer4': nan, 'act_fn': 'sigmoid', 'learning_rate': 0.34363803594903575}"
39,6.2,"{'nlayers': 4, 'nodes_in_layer1': 201, 'nodes_in_layer2': 74, 'nodes_in_layer3': 44, 'nodes_in_layer4': 720, 'act_fn': 'tanh', 'learning_rate': 0.14720933308583037}"
40,3.7,"{'nlayers': 3, 'nodes_in_layer1': 104, 'nodes_in_layer2': 107, 'nodes_in_layer3': 397, 'nodes_in_layer4': nan, 'act_fn': 'relu', 'learning_rate': 0.117654314180688}"
41,4.0,"{'nlayers': 2, 'nodes_in_layer1': 479, 'nodes_in_layer2': 297, 'nodes_in_layer3': nan, 'nodes_in_layer4': nan, 'act_fn': 'relu', 'learning_rate': 0.23119357765906798}"
42,4.4,"{'nlayers': 4, 'nodes_in_layer1': 723, 'nodes_in_layer2': 262, 'nodes_in_layer3': 33, 'nodes_in_layer4': 46, 'act_fn': 'relu', 'learning_rate': 0.3196268932151172}"
43,5.793868451996271,"{'nlayers': 2, 'nodes_in_layer1': 56, 'nodes_in_layer2': 215, 'nodes_in_layer3': nan, 'nodes_in_layer4': nan, 'act_fn': 'sigmoid', 'learning_rate': 0.003645838620470888}"
44,6.495713806677311,"{'nlayers': 1, 'nodes_in_layer1': 70, 'nodes_in_layer2': nan, 'nodes_in_layer3': nan, 'nodes_in_layer4': nan, 'act_fn': 'tanh', 'learning_rate': 9.331473236897704e-05}"
45,4.0,"{'nlayers': 2, 'nodes_in_layer1': 99, 'nodes_in_layer2': 427, 'nodes_in_layer3': nan, 'nodes_in_layer4': nan, 'act_fn': 'relu', 'learning_rate': 0.03713856694463164}"
46,5.52869952386615,"{'nlayers': 4, 'nodes_in_layer1': 230, 'nodes_in_layer2': 44, 'nodes_in_layer3': 115, 'nodes_in_layer4': 80, 'act_fn': 'sigmoid', 'learning_rate': 0.012161987663498788}"
47,3.92131942007821,"{'nlayers': 2, 'nodes_in_layer1': 125, 'nodes_in_layer2': 707, 'nodes_in_layer3': nan, 'nodes_in_layer4': nan, 'act_fn': 'relu', 'learning_rate': 0.0032352043292269575}"
48,4.405729740782072,"{'nlayers': 1, 'nodes_in_layer1': 183, 'nodes_in_layer2': nan, 'nodes_in_layer3': nan, 'nodes_in_layer4': nan, 'act_fn': 'relu', 'learning_rate': 0.005307599726433857}"
49,3.7109504096188397,"{'nlayers': 1, 'nodes_in_layer1': 71, 'nodes_in_layer2': nan, 'nodes_in_layer3': nan, 'nodes_in_layer4': nan, 'act_fn': 'relu', 'learning_rate': 0.01044519043131149}"
50,6.2,"{'nlayers': 4, 'nodes_in_layer1': 300, 'nodes_in_layer2': 59, 'nodes_in_layer3': 836, 'nodes_in_layer4': 876, 'act_fn': 'tanh', 'learning_rate': 0.14828863734096354}"
51,4.4,"{'nlayers': 4, 'nodes_in_layer1': 34, 'nodes_in_layer2': 802, 'nodes_in_layer3': 141, 'nodes_in_layer4': 916, 'act_fn': 'relu', 'learning_rate': 0.338303981835301}"
52,5.336966639141591,"{'nlayers': 4, 'nodes_in_layer1': 89, 'nodes_in_layer2': 122, 'nodes_in_layer3': 613, 'nodes_in_layer4': 96, 'act_fn': 'sigmoid', 'learning_rate': 0.009176586341705432}"
53,5.35961432872543,"{'nlayers': 3, 'nodes_in_layer1': 599, 'nodes_in_layer2': 806, 'nodes_in_layer3': 41, 'nodes_in_layer4': nan, 'act_fn': 'sigmoid', 'learning_rate': 0.015065490328887321}"
54,5.9,"{'nlayers': 2, 'nodes_in_layer1': 111, 'nodes_in_layer2': 77, 'nodes_in_layer3': nan, 'nodes_in_layer4': nan, 'act_fn': 'sigmoid', 'learning_rate': 0.14075591770883514}"
55,6.499999999996015,"{'nlayers': 1, 'nodes_in_layer1': 608, 'nodes_in_layer2': nan, 'nodes_in_layer3': nan, 'nodes_in_layer4': nan, 'act_fn': 'tanh', 'learning_rate': 0.031736391297549196}"
56,6.1953870317240485,"{'nlayers': 4, 'nodes_in_layer1': 218, 'nodes_in_layer2': 90, 'nodes_in_layer3': 137, 'nodes_in_layer4': 78, 'act_fn': 'tanh', 'learning_rate': 0.0001602892559035223}"
57,5.6,"{'nlayers': 3, 'nodes_in_layer1': 182, 'nodes_in_layer2': 511, 'nodes_in_layer3': 305, 'nodes_in_layer4': nan, 'act_fn': 'sigmoid', 'learning_rate': 0.07025920007718212}"
58,4.395640886220027,"{'nlayers': 4, 'nodes_in_layer1': 694, 'nodes_in_layer2': 35, 'nodes_in_layer3': 238, 'nodes_in_layer4': 147, 'act_fn': 'relu', 'learning_rate': 0.00010865241397308429}"
59,6.589766036182746,"{'nlayers': 1, 'nodes_in_layer1': 55, 'nodes_in_layer2': nan, 'nodes_in_layer3': nan, 'nodes_in_layer4': nan, 'act_fn': 'sigmoid', 'learning_rate': 0.0009183272755141106}"
60,5.9,"{'nlayers': 2, 'nodes_in_layer1': 633, 'nodes_in_layer2': 76, 'nodes_in_layer3': nan, 'nodes_in_layer4': nan, 'act_fn': 'sigmoid', 'learning_rate': 0.08828050044386203}"
61,5.79084855306078,"{'nlayers': 2, 'nodes_in_layer1': 206, 'nodes_in_layer2': 99, 'nodes_in_layer3': nan, 'nodes_in_layer4': nan, 'act_fn': 'tanh', 'learning_rate': 0.0008082004492192851}"
62,4.39999999997386,"{'nlayers': 4, 'nodes_in_layer1': 278, 'nodes_in_layer2': 43, 'nodes_in_layer3': 38, 'nodes_in_layer4': 202, 'act_fn': 'relu', 'learning_rate': 0.030943160664039227}"
63,6.159953638704079,"{'nlayers': 4, 'nodes_in_layer1': 397, 'nodes_in_layer2': 945, 'nodes_in_layer3': 192, 'nodes_in_layer4': 98, 'act_fn': 'tanh', 'learning_rate': 0.0023895522900860785}"
64,5.495391979849037,"{'nlayers': 3, 'nodes_in_layer1': 147, 'nodes_in_layer2': 42, 'nodes_in_layer3': 35, 'nodes_in_layer4': nan, 'act_fn': 'tanh', 'learning_rate': 0.00015930766225931124}"
65,5.406956279159724,"{'nlayers': 3, 'nodes_in_layer1': 358, 'nodes_in_layer2': 132, 'nodes_in_layer3': 58, 'nodes_in_layer4': nan, 'act_fn': 'tanh', 'learning_rate': 0.0034620841214294527}"
66,6.2,"{'nlayers': 4, 'nodes_in_layer1': 215, 'nodes_in_layer2': 382, 'nodes_in_layer3': 316, 'nodes_in_layer4': 85, 'act_fn': 'tanh', 'learning_rate': 0.042909015292732}"
67,5.57904152493714,"{'nlayers': 3, 'nodes_in_layer1': 145, 'nodes_in_layer2': 403, 'nodes_in_layer3': 38, 'nodes_in_layer4': nan, 'act_fn': 'sigmoid', 'learning_rate': 0.001658907794383813}"
68,6.495103498568779,"{'nlayers': 1, 'nodes_in_layer1': 49, 'nodes_in_layer2': nan, 'nodes_in_layer3': nan, 'nodes_in_layer4': nan, 'act_fn': 'tanh', 'learning_rate': 0.00021500036764632186}"
69,6.6,"{'nlayers': 1, 'nodes_in_layer1': 44, 'nodes_in_layer2': nan, 'nodes_in_layer3': nan, 'nodes_in_layer4': nan, 'act_fn': 'sigmoid', 'learning_rate': 0.11679198160030661}"
70,6.046992230575797,"{'nlayers': 4, 'nodes_in_layer1': 59, 'nodes_in_layer2': 34, 'nodes_in_layer3': 452, 'nodes_in_layer4': 526, 'act_fn': 'tanh', 'learning_rate': 0.004187014673172177}"
71,6.6,"{'nlayers': 1, 'nodes_in_layer1': 128, 'nodes_in_layer2': nan, 'nodes_in_layer3': nan, 'nodes_in_layer4': nan, 'act_fn': 'sigmoid', 'learning_rate': 0.25938901375585327}"
72,5.415290524899953,"{'nlayers': 4, 'nodes_in_layer1': 37, 'nodes_in_layer2': 117, 'nodes_in_layer3': 281, 'nodes_in_layer4': 183, 'act_fn': 'tanh', 'learning_rate': 0.00791099280707652}"
73,4.7,"{'nlayers': 1, 'nodes_in_layer1': 56, 'nodes_in_layer2': nan, 'nodes_in_layer3': nan, 'nodes_in_layer4': nan, 'act_fn': 'relu', 'learning_rate': 0.24879882289144659}"
74,6.067867403273892,"{'nlayers': 4, 'nodes_in_layer1': 244, 'nodes_in_layer2': 835, 'nodes_in_layer3': 236, 'nodes_in_layer4': 123, 'act_fn': 'tanh', 'learning_rate': 0.003964182895509483}"
75,5.593595305747673,"{'nlayers': 3, 'nodes_in_layer1': 552, 'nodes_in_layer2': 281, 'nodes_in_layer3': 551, 'nodes_in_layer4': nan, 'act_fn': 'sigmoid', 'learning_rate': 0.0004651673611982568}"
76,4.67172125492556,"{'nlayers': 1, 'nodes_in_layer1': 41, 'nodes_in_layer2': nan, 'nodes_in_layer3': nan, 'nodes_in_layer4': nan, 'act_fn': 'relu', 'learning_rate': 0.001988657624889166}"
77,4.683479131377819,"{'nlayers': 1, 'nodes_in_layer1': 44, 'nodes_in_layer2': nan, 'nodes_in_layer3': nan, 'nodes_in_layer4': nan, 'act_fn': 'relu', 'learning_rate': 0.0014060278811101733}"
78,5.882680223316091,"{'nlayers': 2, 'nodes_in_layer1': 97, 'nodes_in_layer2': 600, 'nodes_in_layer3': nan, 'nodes_in_layer4': nan, 'act_fn': 'sigmoid', 'learning_rate': 0.0014556268310393931}"
79,5.5,"{'nlayers': 3, 'nodes_in_layer1': 85, 'nodes_in_layer2': 48, 'nodes_in_layer3': 359, 'nodes_in_layer4': nan, 'act_fn': 'tanh', 'learning_rate': 0.23319723961707967}"
80,5.201085217741259,"{'nlayers': 4, 'nodes_in_layer1': 410, 'nodes_in_layer2': 520, 'nodes_in_layer3': 85, 'nodes_in_layer4': 59, 'act_fn': 'tanh', 'learning_rate': 0.010139801739242284}"
81,2.781021733350529,"{'nlayers': 3, 'nodes_in_layer1': 995, 'nodes_in_layer2': 134, 'nodes_in_layer3': 116, 'nodes_in_layer4': nan, 'act_fn': 'relu', 'learning_rate': 0.011233235786349665}"
82,5.5,"{'nlayers': 3, 'nodes_in_layer1': 808, 'nodes_in_layer2': 629, 'nodes_in_layer3': 142, 'nodes_in_layer4': nan, 'act_fn': 'tanh', 'learning_rate': 0.04365060805562049}"
83,5.486172382726884,"{'nlayers': 3, 'nodes_in_layer1': 46, 'nodes_in_layer2': 733, 'nodes_in_layer3': 185, 'nodes_in_layer4': nan, 'act_fn': 'tanh', 'learning_rate': 0.0012216417349457363}"
84,3.6953169865283337,"{'nlayers': 3, 'nodes_in_layer1': 45, 'nodes_in_layer2': 39, 'nodes_in_layer3': 890, 'nodes_in_layer4': nan, 'act_fn': 'relu', 'learning_rate': 0.0001740831218039659}"
85,5.551778223334917,"{'nlayers': 3, 'nodes_in_layer1': 885, 'nodes_in_layer2': 335, 'nodes_in_layer3': 171, 'nodes_in_layer4': nan, 'act_fn': 'sigmoid', 'learning_rate': 0.017387489567819835}"
86,5.56077956803934,"{'nlayers': 1, 'nodes_in_layer1': 44, 'nodes_in_layer2': nan, 'nodes_in_layer3': nan, 'nodes_in_layer4': nan, 'act_fn': 'tanh', 'learning_rate': 0.008937601129972505}"
